teased big hair, heavy hairspray, flipped ends
messy bedhead waves, eyeliner smudged, tired glam
sleek high ponytail, sharp wing liner, glossy lips
bleached blonde curls, frosted shadow, overlined lipstick
dark roots showing, loose curls, matte red lipstick
short feathered cut, blue shimmer lids, peach blush
wet look hair, smoky eyes, lip gloss shine
half up hair clip, glitter shadow, nude lip
side swept bangs, thick mascara, cigarette stained lipstick tint
pin curl set, cat eye liner, classic red lipstick
high volume blowout, bronzed cheeks, glossed pout
braided pigtails, rosy blush, soft pink lipstick
messy bun, tight liner, freckles showing through
straight flat iron hair, dark liner, pale concealer
crimped hair sections, neon shadow, cherry lip gloss
bandana tied hair, minimal makeup, sun kissed skin
hair slicked back, bold brows, deep plum lipsticks
soft curls with headband, sparkly lids, peachy lip balm
loose beach waves, smudgy kohl, bitten lipstick stain
mussed up bob, heavy blush, glossy black cherry lipstick
roller set volume, thick liner, coral lipstick
damp hair strands, mascara runs, raw lipstick smear
short spiky cut, metallic shadow, bright red lipstick
dark afro with colorful clips, glittery eyes, glossy nude lips
