medium shot framing the subject from waist up, clear focus, centered composition
three-quarter shot capturing torso and legs, balanced proportions
full-body shot with clean vertical alignment, visible footwear
close-up portrait focusing on face and shoulders, shallow depth of field
over-the-shoulder angle showing subject facing into the scene
low-angle shot emphasizing height and presence, strong vertical lines
high-angle shot reducing scale slightly, architectural context visible
wide shot including background guests and environment, deep staging
slight Dutch tilt adding dynamic diagonal lines, controlled tension
soft panning motion blur at the edges, subject sharp in center
tight crop on facial expression, compressed background, smooth bokeh
telephoto compression effect flattening distance between subject and décor
ambient occlusion enhancing depth in corners and crevices, subtle shadowing
natural perspective distortion from slight wide-angle lens, clean lines
shallow depth of field isolating subject from background, smooth transition
even lighting across the frame, minimal shadows, clear details
balanced color grading with warm tones, consistent saturation
symmetrical framing with centered subject, equal spacing on sides
asymmetrical composition with subject off-center, dynamic balance
rule of thirds placement with subject aligned to grid intersections
leading lines directing focus toward the subject, clear pathways
soft vignette around edges, drawing attention to center subject
high contrast black and white conversion, strong tonal range
slightly desaturated color palette, muted highlights and shadows
natural skin tones with subtle warmth, realistic color rendering
soft focus effect on background elements, subject remains sharp
gentle motion blur on moving elements, maintaining overall clarity
extreme close-up macro detail, revealing texture and fine features
bird's eye view from directly above, flattened perspective
worm's eye view from ground level looking up, dramatic scale
profile shot capturing perfect side silhouette, clean edge definition
candid documentary style with natural unposed positioning
cinematic anamorphic aspect ratio with horizontal lens flares
vintage film grain texture overlaying digital clarity
split lighting creating dramatic half-lit portrait effect
